br.com.camiloporto.scalability.client.ClientRequest | Thread-1 | Wed Sep 20 21:57:20 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-2 | Wed Sep 20 21:57:21 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-3 | Wed Sep 20 21:57:22 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-4 | Wed Sep 20 21:57:22 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-5 | Wed Sep 20 21:57:23 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-1 | Wed Sep 20 21:57:23 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-6 | Wed Sep 20 21:57:24 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-7 | Wed Sep 20 21:57:25 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-2 | Wed Sep 20 21:57:25 BRT 2017 | received response: 207838
br.com.camiloporto.scalability.client.ClientRequest | Thread-8 | Wed Sep 20 21:57:25 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-3 | Wed Sep 20 21:57:25 BRT 2017 | received response: 217838
br.com.camiloporto.scalability.client.ClientRequest | Thread-9 | Wed Sep 20 21:57:26 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-10 | Wed Sep 20 21:57:26 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-4 | Wed Sep 20 21:57:27 BRT 2017 | received response: 227838
br.com.camiloporto.scalability.client.ClientRequest | Thread-11 | Wed Sep 20 21:57:27 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-12 | Wed Sep 20 21:57:28 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-13 | Wed Sep 20 21:57:28 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-14 | Wed Sep 20 21:57:29 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-15 | Wed Sep 20 21:57:30 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-5 | Wed Sep 20 21:57:30 BRT 2017 | received response: 237838
br.com.camiloporto.scalability.client.ClientRequest | Thread-16 | Wed Sep 20 21:57:30 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-17 | Wed Sep 20 21:57:31 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-6 | Wed Sep 20 21:57:31 BRT 2017 | received response: 247838
br.com.camiloporto.scalability.client.ClientRequest | Thread-18 | Wed Sep 20 21:57:31 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-19 | Wed Sep 20 21:57:32 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-20 | Wed Sep 20 21:57:32 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-7 | Wed Sep 20 21:57:32 BRT 2017 | received response: 257838
br.com.camiloporto.scalability.client.ClientRequest | Thread-21 | Wed Sep 20 21:57:33 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-22 | Wed Sep 20 21:57:33 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-8 | Wed Sep 20 21:57:33 BRT 2017 | received response: 267838
br.com.camiloporto.scalability.client.ClientRequest | Thread-23 | Wed Sep 20 21:57:33 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-24 | Wed Sep 20 21:57:34 BRT 2017 | request sent
br.com.camiloporto.scalability.client.ClientRequest | Thread-9 | Wed Sep 20 21:57:34 BRT 2017 | received response: 277838
br.com.camiloporto.scalability.client.ClientRequest | Thread-10 | Wed Sep 20 21:57:35 BRT 2017 | received response: 197838
br.com.camiloporto.scalability.client.ClientRequest | Thread-25 | Wed Sep 20 21:57:35 BRT 2017 | request sent
